Name,Description,List,Labels,Members
"Set up production environment (AWS/GCP)","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Configure CI/CD pipeline with GitHub Actions","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Set up PostgreSQL database with schemas","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Configure Redis for caching","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Implement database migrations for users, orders, products","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Set up monitoring (logs, error tracking)","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Configure environment variables for all APIs","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: To Do","To Do","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"WhatsApp Business API integration","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: In Progress","In Progress","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Webhook setup and testing","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: In Progress","In Progress","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Basic conversation flow implementation","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: In Progress","In Progress","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
"Unit tests for core functions","Week: 1-2; Role: Developer; Area: Foundation & Setup; Status: Testing","Testing","Week 1-2,Role: Dev,Area: Foundation & Setup","Joaquin"
